"","주요증상","주소","질문제목","질문내용","답변내용"
"15","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000240455","검사에사 양성이 나왔는데도 성홍열이아닐수있나요??","5살여아. 친정집에서지난토요일 점심 미열. 그후 정상이다가저녁에 다시한번 미열. 37.7~9늦은저녁부터 다음날 일요일 아침까지는또 정상체온으로 내려갔어요. 약복용없이요!!그래도 열이 났었으니 걱정이되어서일요일 소아과내원. 상황말씀드리고 진료. 편도가 많이부었고 턱밑 임파선도 부었다고.근데 얼굴이 너무 까칠해보인다고.계란껍질처럼 오돌토돌. 빨갛진않았구요!!몇일전(4~5일)부터 그랬지만 열은 어제(토)가 처음 난거라고 말씀드렸어요면봉으로 목에침묻혀 검사. (15000)한줄은 짙고 한줄은 흐리고. 양성이라며성홍열이라고.  항생제 10일 먹어야한다셔서처방받고. 3일먹고 다시내원.이때는 다른선생님께 진료. 3분이 돌아가면서늦게까지진료하시는 시스템의병원이예요!발진이 안올라왔내..하시며. 목만 조금 붉고 괜찮다고.그러시곤. 같은약 처방해주셔서3일먹고 집으로 돌아왔어요.집근처 다니던 소아과에 가서상황말씀드리고 진료봤는데발진도 전혀없고.딸기혀도아니고.성홍열아니라고!!!평소 처방받던 알레르기비염 자기전씹어먹는 츄잉제만 처방해주시네요!!의사선생님께서 아니라니. 별말못하고돌아왔는데.. 어안이벙벙.하고..이게뭐지싶고ㅠㅠ항생제 10일 먹어야한뎄는데...분명 검사해서 양성이라했는데....이 생각만 머리속에 맴도네요!!1.검사에사 양성이 나왔는데도성홍열이아닐수있나요??2.발진이 전혀 없었는데성홍열은 발진이 반드시 올라오나요?3. 6일 항생제 복용했눈데그냥 이렇게 스탑해도 되는걸까요??또 다른 병원을가기도 그렇고 ㅠㅠ신장염증이 부작용. 약 복용후에 소변검사도 해볼거라고. 하셨던처음갔던 병원. 선생님 말씀이 생각이나서.어째야할지. 부모로써. 걱정이되네요!!","안녕하세요, 하이닥 소아청소년과 상담의 고시환 입니다. 에고. . .  답을 어찌 드려야 안심을 하실 수 있을지. . .  우선, 하신 검사는 의양성반응도 많아서 양성으로 나와도 아닌 경우를 고려하여야만 합니다.  독감도 그러하고, 간이 검사들에서는 어쩔 수 없이 의양성이나 반대로 의음성이 있을 수 있습니다.  주신 내용만으로 보아서는 성홍열의 가능성은 높아 보이지는 않습니다.  다만, 진료를 하던 당일날 아이의 임상소견을 보는 것과 시간이 지나 아이의 소견이 변화를 보인 뒤에 보는 것은 다소 견해가 다를 수 있습니다.  우선은 너무 걱정하지 마시고, 이미 복용한 항생제들에 대해서는 의미를 크게 부여하지 않아도 되지 않을까 싶군요.  감사합니다. "
"16","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000264487","3주전 2주 동안 폭염에서 외근 근무를 하다가 열이 나 ...","3주전 2주 동안 폭염에서 외근 근무를 하다가 열이 나고   온몸이 쑤시고 한기가 느껴지고 머리가 아파서 집 근처 개인병원에서 주말에 링거를 맞아 어느 정도 괜찮아졌다가  지난 주 일주일 동안 폭염에서 오전에는 운동장 10바퀴를 뛰고 체력훈련을 하고 오후에는 1시간 정도 훈련을 하고 나니 설사가 나고 열이 나며 어깨, 허리, 무릎 등 온몸이 쑤시고 두통까지 동반되어 다시 토요일 링거를 맞고 약도 먹었으나 열이 오르고 한기가 느껴지고 삭신이 쑤셔 계속 고통스럽습니다..47세, 남자이고 80kg 정도 체격인데..이런 일이 처음이라 어찌 해야할 지 모르겠습니다..고통스럽습니다..해결책을 부탁드립니다.","안녕하세요, 하이닥 한방과 상담의 손원진 입니다. 더위를 먹었다고 하는 증상으로 보입니다. 여름철 감기로 볼 수 있는데. .  일반 감기와는 증상이 다소 더 복잡할 수 있어, 예전에도 몇가지로 나누어 치료를 해왔었습니다.  ""더위를 먹은 것은 여러가지 증상이 있습니다. 중열병 -- 햇볕아래에서 무리한 일을 해서 오는 증상입니다.  두통이 생기고 가슴이 답답하며, 심한 갈증도 납니다.  땀을 많이 흘리기도 합니다.  체온조절이 안되서 쓰러져 사망하는 경우도 있습니다.  (열사병 같은 경우입니다. )중갈병 --여름에 덥다고 너무 시원한 곳에만 있다가 생기는 병입니다.  시원하고 서늘한 곳에만 있다 보니 오히려 여름 감기가 걸린 것입니다.  한기가 들고, 추웠다 더웠다 할 수도 있습니다.  팔다리가 아프고, 가슴이 답답하고, 열이 나기도 합니다. 서병 -- 여름철에 걸리는 위장형 감기를 말합니다.  배가 아프고 설사하며, 속이 메슥거리고 입맛이 떨어집니다.  기침을 하거나 땀이 많이 나기도 합니다.  온몸이 다 아프며 몸살 처럼 하기도 합니다.  이러한 여름철 감기를 앓고 나면, 급한 증상은 나아졌어도, 기운 없고, 의욕이 떨어지며, 식욕이 없거나, 자꾸만 설사하거나 배가 아픈 등의 후유증이 오래 갑니다.  이러한 위장 증상이 오래가기에 ‘더위를 먹었다!’라는 표현을 썼는지도 모릅니다. ""질문자 분의 상황은 처음에는 '중열병'에 해당되는 증상을 앓으신 것으로 보이며, 이후 체력이 회복되지 못한 상태에서 무리한 훈련을 통해 '중열병'의 상태와 '서병'이 겹쳐진 것으로 보입니다.  서병의 경우는 지나치게 몸의 열기가 오른 상태에서 찬물이나, 찬바람을 쐬여도 올 수 있습니다.  한의원 치료를 권해 봅니다.  증상이 심할때는 병원치료 같이 받으셔도 좋을 듯 합니다. 참고하시길 바랍니다. 더욱 건강하세요. . . "
"17","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000454972","열이나면","열이 39도까지 나는데 심박수가 150에서 움직이면 170이 나오는데 정상인건가요...????","안녕하세요, 하이닥 내과 상담의 김소연 입니다. 정상이라고 할수있겠습니다. 움직이면 당연히 더올라가지요. 해열 빨리 하시는게 좋겠네요. 감사합니다. "
"19","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000057429","엄마의 코기형이 구순열 증상인지","안녕하십니까.오랜 고민과 가슴 앓이 끝에겨우 이렇게 문을 두드립니다.저희 엄마의 코와(입술에 수술자국 비슷한 모양도 있음)관련된 상담입니다.60대중반이신 엄마의, 보통의 사람과 다른 코의 모습이 어떤사연으로 그렇게 되었는지 모른체 저희 자식들은 혹여 엄마에게 상처가 될까봐, 엄마께 묻지않고 30여년 세월을 지냈습니다. 엄마의 20대초반의 사진을 보면 지금의 모습과 크게 다르지 않은 것으로 봐서 어릴 때부터 그랬던 것 같은데, 구순열의 일종인 것 같아 상담을 드립니다.왼쪽의 코구멍이 거의 보이지 않을정도로 왼쪽코가 눌러있으며 코등옆으로 꿰맨자국이 보입니다. 그리고 입술에도 수술자국비슷한 것이 보이는데 구순열 증상으로 1차 수술을 한 것인지요.만약 구순열이라면 왼쪽콧구멍 부분을 거의 새로 만들어야 되는데수술이 가능한지,나이가 있으신데 수술이몸에 크게 무리가 가지 않는지, 회복기간은 어떻게 되는지, 수술비용까지 여쭙고 싶습니다.****첨부사진 참조 부탁드립니다****","안녕하세요.  하이닥 성형외과 상담의 신상호입니다. 답변이 늦은 점 사과 드립니다. 첨부해주셨다는 사진을 저는 확인이 안되어 글로 읽은 부분에 대해서만 답변을 드리자면 선천적인 구개열 및 구순열 이 있었으리라 짐작이 됩니다. 이런 경우 입 천장에도 수술 자국이 있을 가능성도 있습니다. 구개열이 동반 되는 경우가 많으므로 입 천장 수술을 받았을 가능성이 높기 때문입니다.  2차 수술을 해드리고 싶은 따님의 마음이 가슴 한켠을 따뜻하게 하는군요. 2차 수술로 낮은 콧볼의 모양과 기타 미용적 개선을 얻을 수 있습니다. 60대 중반이시라도 수술이 가능합니다.  굳이 전신 마취가 아니라도 수면 마취나 부분 마취로도 수술이 가능하므로 어머니의 컨디션이 좋으시다면 연세가 있으셔도 수술이 얼마든지 가능합니다. 회복기간은 1주일 안팎에 실밥을 뽑고 한동안 테이프를 붙이고 다니시면 되는데 이 기간도 2주~8주 사이로 비교적 회복기간도 짧은 편입니다.  큰 수술은 아니라는 말입니다. 이러한 수술은 대학병원 성형외과 전문의 교수들에게 받으시면 많은 경험이 있으신 분들이므로 결과가 좋습니다. 수술 비용은 수백만원 대이지만 사진을 보지 않은 상태에서는 보험으로 싸게 수술이 가능할지 비보험으로 비싸게 수술이 가능할지 판단이 서지 않는군요. 모쪼록 원하시던 답변이었으면 좋겠습니다. 좋은 결과 있기를 기원합니다. "
"20","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000456625","열이 오르락내리락","안녕하세요 26살 남성입니다.어제 점심에 국밥먹고 바로 찬 강풍 맞으면서 축구를 했습니다운동을 할때 국밥이 계속 역류했습니다.그 때문인지 제가 어제 저녁부터 머리가 너무 아프고 속이 미식거리고 으쓰쓰합니다.어제 저녁 집에서 열을 재보니 38도 나왔습니다.다음날 병원가서 열재보니 정상으로 나왔습니다.활동을 하면 열이 정상온도로 떨어지지만 가만히 누워있으면 열이 올라갑니다. 그래서 병원 갔다오자마자 열 재보니 정상이었지만 한숨 자고 너무 몸이 뜨거워서 재보니 또 37.7~38.1도 나옵니다.증상이 체한 것 같아 병원가서 체할 때 먹는 약을 타왔습니다만병원가서 다시 해열제를 타서 먹어야할까요??","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 체하는 증상으로 일반적으로 발열이 생기지는 않습니다. 밤에만 열이 있다면, 다른 감염질환들에 대한 가능성을 염두해야할 수도 있습니다. 하루정도 더 지켜보시고, 증상이 지속된다면 다시 병원 진료 받으시기를 권유합니다. 감사합니다. "
"21","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000196339","이유 없이 열이 납니다.","1월 중순에 열이 1주일 정도 나서 내과 방문후 독감은 아닌 것 같다며  3일 항생제와 해열제를 먹었더니 다 나아서괜찮았습니다 하지만 어제 저녁에 또 다시 열이 나더라구요 그래서 타이레놀 한알 먹었더니 금방 열은 내렸습니다저는 약만 먹으면 열은 금방 내려갑니다 내려가지 않거나 몇시간 동안 열이 지속되지 않습니다하지만 1월 중순에도 이유없이 열이나고 오늘 저녁에도 이유없이 열이 나서 겁이나서 질문 드립니다제가 공황장애라 항우울제와 불안제를 먹습니다 이 것 때문에 이런 걸까요?제가 스트레스받거나 낮잠을 잘못자면 편두통이 오면서 미열이 고등학교때도 한번씩 나긴 했습니다하지만 해열제나 자고 일어나면 금방 없어졌구요피검사나 검사를 해봐야 할까요?? 무섭고 걱정이 되네요","안녕하세요, 하이닥 상담의 오호준 입니다. 실제로 열이 나는지 체온을 측정해보시고 계신지요. 열이 실제로 나는 것이 확인이 되는 것이 지속된다면 우선 혈액검사를 해보시기 바라며 드시고 계신 신경 정신과 약에 의해서도 열이 가능할수 있으니 처방 받으신 병원에서 상의 해보시기 바랍니다. 우선 열이 있다는 것은 가장 흔한 원인은 감염병 (감기 바이러스 등) 에서부터 암에 의해서도 열이 날수도 있으니 원인 모를 열에 대해서는 이유를 찾는 검사가 필요할 것으로 생각됩니다. 감사합니다. "
"23","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000404635","배가아파서 설사를 하고열이나서 머리가 어지럽고 아픕니다","배가아파서 설사를 하고열이나서 머리가 어지럽고 아픕니다.구토증상도 있었는데 구토증상은 없어졋구요장염인가요?","안녕하세요, 하이닥 응급의학과 상담의 한재병 입니다. 장염일 가능성이 가장 높아보입니다. 장염 외, 맹장염 등의 가능성도 배제는 불가능합니다.  증상 지속시 꼭 검사를 받아보세요"
"24","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000337899","A형 독감이 걸려서 고생하고 있습니다 열이나서 닝겔  ...","A형 독감이 걸려서 고생하고 있습니다 열이나서 닝겔 맏고 열은떨어졌는데 기침이 멈추질 않아 힘이 듬니다 약은 먹고  있는데 빨리 낫는 방법 없을까요?","안녕하세요, 하이닥 호흡기내과 상담의 남귀현 입니다. 독감에 타미플루 드신다면 독감은 곧 좋아지지만 이번 독감에 천식이 같이 유발되는 경우가 많습니다.  숨쉴 때 그릉그릉 거리면 기관지 확장제를 같이 투여해야 합니다.  독감 치료 받으신 병원에서 다시 진찰 받아 보세요.  감사합니다. "
"25","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000322568","어제 아침부터 갑자기 심한 두통과 열이 나구여 으슬으슬 ...","어제 아침부터 갑자기 심한 두통과 열이 나구여 으슬으슬 추웠다가 갑자기 땀이 엄청 나고 오늘 또 밤새 으슬으살 첩고 열나고 머리가 아파요","안녕하세요, 하이닥 한방과 상담의 손원진 입니다. 감기 몸살이 오는 중입니다.  빨리 병원, 한의원을 찾아 약을 드시고, 휴식을 취하시는 것이 덜 아픈 방법입니다. 더욱 건강하세요. "
"27","열이+나","https://www.hidoc.co.kr/healthqna/view/C0000242526","갱년기로 몸에 열이 나서 잠을 제대로 못자니피곤합니다 ...","갱년기로 몸에 열이 나서 잠을 제대로 못자니피곤합니다갱년기열 내리는 방법엔 어떤것이 좋을까요3년째인데요좀약해지긴했지만 아직도침대가 넘 뜨거워져 잠을 자주 깹니다","안녕하세요, 하이닥 한방과 상담의 박연경 입니다. 갱년기 증상으로 고생하고 계시는군요.  갱년기에는 호르몬의 변화로 인해 각종 증상들이 나타납니다.  안면홍조, 우울감, 상열감, 한출과다 등과 더불어 불면증 등으로 인해 많은 여성들이 힘들어합니다. 갱년기에 접어들면 우리몸에서는 에스트로겐이라는 호르몬의 분비가 적어지게 됩니다.  에스트로겐의 분비가 줄어들게 되면 앞서 언급한 증상들이 나타나게 되는데, 이러한 증상들을 완화하기 위해 양방에서는 호르몬대체요법을 하게 됩니다. 하지만, 호르몬을 복용하는 것에 대한 불안감으로 인해(대표적으로 유방암 발생에 대한 불안감) 많은 분들이 한의원에 내원하십니다.  한의학적으로는 음양의 조화가 깨져 발생하는 증상으로 보기 때문에 보음, 보혈하는 한약을 복용하게 되고, 뜸치료 침치료, 자하거 약침 등을 병행하여 갱년기를 덜 힘들게 지날 수 있도록 도움을 드립니다. 증상이 심하지 않다면 검은콩차와 같은 쉽게 구할 수 있는 식재료를 통해 집에서 관리해도 될 것으로 생각되지만, 현재 증상이 3년 간 지속되고 있기 때문에 한방 치료를 고려해보시는 것 또한 좋을 것이라고 생각 됩니다. 감사합ㄴ디ㅏ. "
