"","주요증상","주소","질문제목","질문내용","답변내용"
"11","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000384054","가끔씩 왼쪽가슴 쪽이 아파옵니다","나이45세의 남자입니다. 집에서 거의매일 간단한 운동을 합니다.실내에서..푸샵및스쿼트를 간단하게합니다.그런데 가끔씩 왼쪽가슴 쪽이 아파옵니다.겉에서 나는통증이 아니라 속에서 찌르듯이 통증이 가끔씩 찾아옵니다.병원을 가서 확인해봐야하는것인지..이런증상이 운동과 연관이있는지.아.운동을 하지않을때도 갑자기 가끔씩짧게 옵니다.","안녕하세요, 하이닥 마취통증의학과 상담의 노민현 입니다. 운동과 연관이 없을순 없겠지만,원인 자체는 상당히 다양합니다. 심장이나 폐쪽으로 문제가 있는 경우, 또는 단순 가슴 근육쪽의 문제등에 의해서도. . 증상이 계속 된다면 내과 방문하셔서 상담 받아보시고, 이상이 없는 경우 마취통증의학과 방문하셔서 그와 관련된 치료 및 상담 받으시면 될것 같습니다. 감사합니다. "
"12","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000364477","가슴이 아파  외과가서 ct를 찍었는데요","30살 남자입니다가슴이 아파  외과가서 ct를 찍었는데요뼈에는 이상이 없고 물렁뼈가 뼈로 바뀌고 있어서 통증이 있다더군요 이게 무슨 말인지 모르겠네요인터넷 찾아봐도 처음보고요 제가 여유증이 조금있어서 여유증이 의심스러운데  유방 전문 외과의사분이신데여유증은 다음에 초음파 찍어보자고 하시네요물렁뼈가 뼈로 변하는 시기가 40이라고도 하시고요전 이제 30인데  ...   질문은 이러한 병명이 있나요?","안녕하세요, 하이닥 정형외과 상담의 신이경 입니다. 유두부를 경계로 늑골은 흉골부위까지 연골로 형성되어 있습니다.  이 부위는 개인적인 차이는 크나 대개 40대이후부터 골화 되기도 하고 그냥 연골상태로 가기도 하고 합니다.  하지만, 통증이 이러한 골화랑 연관성이 있지는 않습니다.  늑골의 문제가 없으나 늑골 부위가 통증이 있다면 늑골을 덮고 있는 근육의 문제를 짚어 보고 이 근육을 지배하는 신경의 문제를 체크해 보면 어느 정도 원인을 찾아 볼수 있습니다.  유두부를 기준으로 상부에 통증을 느낀다면 경추부에서 기인하는 늑골신경에 의해 근육의 경직으로 오는 통증이 유발되고, 아래부위에 통증을 느낀다면 상복부 근육이나 흉추에서 기인하는 늑골신경에 의해 증상이 올 수 있습니다.  이러한 부위 진단이 되고 나면 신경을 푸는 여러가지 치료를 하면 증상이 호전될 수 있습니다. "
"13","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000060057","가슴이 아파요!","안녕하세요. 16살여학생인데요.3일전부터 가슴이 아파요. 젖꼭지 부분이랑 가슴 몽우리?가 막 아파요.따끔따끔거리게 아파요ㅠㅠ그리고 심장쪽가슴이 아파서 제가 갑상선치료를받는데 갑상선치료받는김에 가슴아프다고물어보니까 가슴사진찍어보라해서 찍어봤는데 가슴쪽엔 이상없구 브래지어를 풀고자보라해서 풀고잤는데 풀고자도 가슴이 아파요.왜그런거죠?유방암인가요?ㅠㅠㅠㅠㅠ","안녕하세요.  하이닥 산부인과 상담의 김태성입니다. 사춘기때 호르몬 분비 영향으로 유선이 성장 하면 그럴 수가 있는데요.  혹시 피부 쪽에 염증이 없는지도 잘 보도록 하세요.  가슴 사진상에 아무 이상이 없으시다면 보통 일시적인 통증이므로 안심 하셔도 되겠습니다.  주무실때 꽉 조이는 옷은 피하시고 편한 옷을 입고 주무시도록 하세요.  감사합니다. "
"14","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000434305","가슴이 아파요","유두,유륜이 붓고 명치랑 가슴둘레가 전체적으로 움직이거나 누르면 아파서 지금까지 위내시경,유방초음파,심전도검사,기본피검사,흉부엑스레이 했는데 평소 위염과 식도염,빈혈끼있는거 빼고전부 정상이였습니다. 이 경우 어떤 검사를 더 해봐야 하나요 증상이 2주가 넘어가고 있어요... 정말 답답합니다. 유방초음파로는 유선염 같은 것은 안보이나요?혹 하나 없이 깨끗하다고 합니다...","안녕하세요, 하이닥 외과 상담의 정홍규 입니다. 유방통증은 대부분 여성호르몬때문에 발생하는 경우가 많습니다. 일반적인 생리주기에서 여성호르몬의 변화가 일상적인거보다 큰 폭으로 변화하게되면 유선조직을 자극해서 통증을 만들어내는 경우가 대부분입니다. 보통 통증은 1달이내 저절로 없어지는 경우가 많으나 그이상 지속될경우에는약물치료등을 시작하게 됩니다.  일단 카페인 들어간 음식이나 음료를 모두 중단하시고 2주정도 더 지켜보셔야 될것 같네요. 카페인은 유방통증을 악화시키는 요인이 될 수 있습니다. 통증이 괜찮아지시면 다시 드셔도 좋습니다. 약물치료는 여러 단계가 있고 가장확실한 약은 부작용이 심하므로가급적 자연적으로 소실되는것을 기다려보시는것이 좋을것같습니다. 유선염등은 초음파로 진단이 가능하므로 초음파에서 이상이 없으시다면 크게 걱정은 하지 않으셔도 될것 같네요. 감사합니다. "
"15","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000412998","심박수가 평상시에90~100나오는데 가슴이 아파요 ","심박수가 평상시에90~100나오는데 가슴이 아파요 정상인가요 정확히 왼쪽 가슴이  아픈데 이유가 무엇일까요?","안녕하세요, 하이닥 내과 상담의 이동건 입니다. 심박수가 90에서 100이면 정상범위입니다. 가슴이 아프면서 쪼이는 증상이 동반되면 심장원인이 가능성 있으므로 심장내과 진료 받아보시고여자분들은 간혹  유방이 원인이 되는 경우도 있으므로 외과 진료도 권합니다. "
"16","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000158289","뒷목이  뻗뻗하고 조금만걸으면  가슴이답답하고  아픕니다","뒷목이  뻗뻗하고 조금만걸으면  가슴이답답하고  아픕니다","안녕하세요, 하이닥 한방과 상담의 송호철 입니다. 제가 현재 외국에 있는 관계로 답변이 늦어서 죄송합니다.  뒷목이 뻣뻣한 것은 스트레스나 자세이상 등으로 인한 후두부 근육의 경직입니다.  내과적 요인이 있을수도 있습니다.  조금만 걸으면 가슴이 답답하고 아픈것은특정 원인을 지목하기 어렵습니다.  걸으면 가슴이 답답하다는 것은 흔히 있는 증상이 아닙니다.  가슴이 답답하거나 가슴의 통증은 흉부의 근막의 긴장으로도 충분히 유발됩니다.  스트레스나 위장장애가 오래되거나 해도 발생됩니다.  뒷목이 뻣뻣한 것과 걸으면 가슴이 답답한 것은 진찰을 요하는 증상이긴 하나 위장장애가 있다면 이를 치료하고역류성식도염이나 관련 병이 있다면 이를 치료하고스트레스가 심하다면 이를 치료해야 합니다.  진찰을 통해 몇가지를 배제하고 치료에 접근하면 됩니다.  아무래도 근긴장과 스트레스, 근막긴장등이 원인일 것이고내과질환이 동반되었을수도 있습니다.  현재의 정보와 내용으로는 여기까지 답변이 가능합니다.  내과적인 검사도 좋고,한의원을 방문하여 상담 및 치료를 받아보시는것도 좋습니다.  치료가 필요한 상태입니다.  감사합니다. "
"17","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000232138","가끔 가슴이답답하고 복장뼈가 뻐근하게 아파요 심전도랑  ...","가끔 가슴이답답하고 복장뼈가 뻐근하게 아파요 심전도랑 혈액검사랑 엑스레이는 이상없다는데 왜이러는걸까요?","안녕하세요, 하이닥 한방과 상담의 손원진 입니다. 심전도, 혈액검사, 엑스레이 모두 이상이 없다니 다행입니다. 여성분들의 경우, 만성 스트레스, 화병의 경우에 가슴이 답답하고, 가슴사이 복장뼈가 뻐근하게 아픈 경우가 특히 많습니다.  가슴도 답답하고, 나도 모르게 한숨을 많이 쉴 수도 있습니다. 소화가 잘 안되거나, 역류성 식도염 이 있는 경우도 비슷한 증상이 오기도 합니다. 검사상  별 이상이 없이 가슴이 답답한 경우. . .  한의원을 방문해 보시길 바랍니다.  오래되지 않은 경우는 침 부항 치료로도 가슴이 시원해지는 경우가 많습니다. 운동도 해 보시고, 즐겁게 지내려는 노력도 필요합니다. 참고하시길 바랍니다. 더욱 건강하세요. "
"18","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000057076","가슴이아프고, 거기가 아파요","저는 16살여학생인데요.생식기는 맞는데, 질도아니고 소음순도아니고그렇다고 자궁도 아닌데..그 음모 털나있는데 뼈있죠 그쪽부터 사타구니라고하나요?그옆에도 뼈가 있나요?하여튼 그쪽까지 막 찌릿찌릿하게 아파요.매일 아픈건 아닌데 가끔씩이요. 한달에 두세번?그렇게 찌릿찌릿아파요 근데 하루종일아픈게 아니라 몇분?몇시간이정도요초등학교 저학년때 운동장에있는 쇠로된 놀이기구 위에 서있다가 발을 잘못디뎌서 중심을 잃고 쾅 쇠위로 거기를 박으면서 엎어진적이있었어요정말 거기가 너무아파서 울면서 집에갔더니 생리도하지않았었던 나인데 피가 약간 묻어잇었어요.근데 그떄 병원은 안갔구요.질염이나 배아파서 산부인과에 간적은 있습니다.왜그렇게 찌릿찌릿 아픈걸까요?아프다고 표현하기엔 뭔가 아프지 않은것같고....잘 모르겠어요 그 느낌을...ㅠㅠ그리고 가슴은..가끔 가슴 몽우리나 젖꼭지가 따갑다하고해야하나? 젖꼭지는 따가운것같이 아플때가 있구요 몽우리는 뭔가 멍든것처럼 아플때가 있어요왜그럴까요?도와주세요ㅠㅠ속시원한 답변부탁드릴게요 ㅠㅠ","안녕하세요.  하이닥 산부인과 상담의 김태성 입니다.  문의 주셔서 감사 합니다.  가슴이 아프신 것은 배란기나 생리전후에 호르몬 작용으로 안 좋으실 수가 있습니다.  정상적인 것이긴 한데, 아주 드물게 혹이 있을 수도 있으므로, 유방 검진을 정기적으로 해주셔야 합니다.  회음부 뼈가 아프신것은 어렸을 적에 다치시고 나서 그 후유증일 수도 있습니다.  하지만 워낙 오래전일 이므로 너무 걱정 안하셔도 됩니다.  큰 이상이 있는 것은 아니지만 검진도 받아 주시기 바래요. "
"19","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000182930","평소에 가끔 가슴이 콕콕 찌르듯이 아프고 답답합니다.","평소에 가끔 가슴이 콕콕 찌르듯이 아프고 답답합니다그리고 잘때 똑바로 누워서 자면 배가땡기듯 아프고 그나마 옆으로 자면 덜하네요 트름도 계속 나오고 합니다ㅎㅎ 어떤 증상인지...","안녕하세요, 하이닥 한방과 상담의 변기원 입니다. 일반적으로 가슴이 아프고 답답한것은 크게 두가지 병을 의심 할 수 있습니다.  가장 흔한 병은 역류성 식도염입니다.  주로 누어 있을 때 증상이 심하게 나타납니다.  하나는 협심증 증상입니다.  나이가 50대 정도 되면 나타나는 증상입니다. 님께서는 역류상 식도염 증상인듯 합니다.  역류성 식도염이 오는 원인은 소장에 유해균이 많을 때 나타나는 증상입니다. ( 마치 변기가 막히면 물을 내릴때 역류하느 것과 같은 원리 입니다. )소장에는 약 200조개의 균이 있고 유익균과 유해균의 비율이 85:15인데, 부모님 중의 한 분이 장이 좋지 않으면 이것을 유전 받은 분은 50: 50으로 태어나게 되고 후전적으로 유해균의 먹이가 되는 것이 단음식과 단과일입니다. 이와 같이 단음식 단과일을 먹게 되면 유해균이 증식이 되게 됩니다. 그러므로 장내 세균총 검사를 받아 보는 것이 좋으며 결과에 따라 유해균이 많은 경우에는 치료가 필요합니다.  우선 단음식 단과일 유제픔 밀가루 음식을 최대한 자제하고 드시지 않는 것이 좋으며 대신 고기 생선 야채를 드시는 것이 좋습니다. 감사합니다. "
"20","가슴이+아파","https://www.hidoc.co.kr/healthqna/view/C0000274948","일주전부터 가슴이 몬가찌르는것처럼아픈데","23살 남자고 키는 164에 몸무게는59키로입니다저는 꾸준히 달리기운동을하는데일주전부터 가슴이 몬가찌르는것처럼아픈데괜찮은건가요???","안녕하세요, 하이닥 한방과 상담의 윤홍일 입니다. 간헐적으로 즉 어쩌다가 오는 것은 문제가 안될 겁니다. 가슴 근육중 대흉근의 긴장으로 근육을 싸고 있는 막에 문제가 생기면 흉통 즉 가슴 통증이 옵니다.  온도가 내려가면서 근 수축으로 오실 수 있고 가슴근육 키운다고 팔 굽혀펴기 해도 근수축으로 올 수 있고요.  가슴근육 스트레칭 해보시고 그래도 지속되면 내과에서 심전도 한 번 받아보세요.  그런데 없어지실 듯 합니다. 감사합니다. "
